Code,Glyph,Description,CharacterSet,is_unicode,CodeEscaped,ASCII
U+0161,A!,Latin Small Letter S with caron,Table_Latin_Extended-A,TRUE,\u0161,s
U+0162,Acent,Latin Capital Letter T with cedilla,Table_Latin_Extended-A,TRUE,\u0162,T
U+0163,Apound,Latin Small Letter T with cedilla,Table_Latin_Extended-A,TRUE,\u0163,t
U+0164,Acurrency,Latin Capital Letter T with caron,Table_Latin_Extended-A,TRUE,\u0164,T
U+0165,Ayen,Latin Small Letter T with caron,Table_Latin_Extended-A,TRUE,\u0165,t
U+0166,A|,Latin Capital Letter T with stroke,Table_Latin_Extended-A,TRUE,\u0166,T
U+0167,AS,Latin Small Letter T with stroke,Table_Latin_Extended-A,TRUE,\u0167,t
U+0168,AXxXunicodeXxX,Latin Capital Letter U with tilde,Table_Latin_Extended-A,TRUE,\u0168,U
U+0169,AC,Latin Small Letter U with tilde,Table_Latin_Extended-A,TRUE,\u0169,u
U+016A,Aa,Latin Capital Letter U with macron,Table_Latin_Extended-A,TRUE,\u016A,U
U+016B,A",Latin Small Letter U with macron,Table_Latin_Extended-A,TRUE,\u016B,u
U+016C,Anot,Latin Capital Letter U with breve,Table_Latin_Extended-A,TRUE,\u016C,U
U+016D,AXxXunicodeXxX,Latin Small Letter U with breve,Table_Latin_Extended-A,TRUE,\u016D,u
U+016E,AR,Latin Capital Letter U with ring above,Table_Latin_Extended-A,TRUE,\u016E,U
U+016F,A-,Latin Small Letter U with ring above,Table_Latin_Extended-A,TRUE,\u016F,u
U+0170,Adeg,Latin Capital Letter U with double acute,Table_Latin_Extended-A,TRUE,\u0170,U
U+0171,A+-,Latin Small Letter U with double acute,Table_Latin_Extended-A,TRUE,\u0171,u
U+0172,A2,Latin Capital Letter U with ogonek,Table_Latin_Extended-A,TRUE,\u0172,U
U+0173,A3,Latin Small Letter U with ogonek,Table_Latin_Extended-A,TRUE,\u0173,u
U+0174,A^,Latin Capital Letter W with circumflex,Table_Latin_Extended-A,TRUE,\u0174,W
U+0175,Amu,Latin Small Letter W with circumflex,Table_Latin_Extended-A,TRUE,\u0175,w
U+0176,Aparagraph,Latin Capital Letter Y with circumflex,Table_Latin_Extended-A,TRUE,\u0176,Y
U+0177,A.,Latin Small Letter Y with circumflex,Table_Latin_Extended-A,TRUE,\u0177,y
U+0178,A,,Latin Capital Letter Y with diaeresis,Table_Latin_Extended-A,TRUE,\u0178,Y
U+0179,A1,Latin Capital Letter Z with acute,Table_Latin_Extended-A,TRUE,\u0179,Z
U+017A,Ao,Latin Small Letter Z with acute,Table_Latin_Extended-A,TRUE,\u017A,z
U+017B,A",Latin Capital Letter Z with dot above,Table_Latin_Extended-A,TRUE,\u017B,Z
U+017C,A1/4,Latin Small Letter Z with dot above,Table_Latin_Extended-A,TRUE,\u017C,z
U+017D,A1/2,Latin Capital Letter Z with caron,Table_Latin_Extended-A,TRUE,\u017D,Z
U+017E,A3/4,Latin Small Letter Z with caron,Table_Latin_Extended-A,TRUE,\u017E,z
U+017F,A?,Latin Small Letter long S,Table_Latin_Extended-A,TRUE,\u017F,S
U+0180,AXxXunicodeXxX,Latin Small Letter B with stroke,Table_Latin_Extended-B,TRUE,\u0180,b
U+0181,AXxXunicodeXxX,Latin Capital Letter B with hook,Table_Latin_Extended-B,TRUE,\u0181,B
U+0182,A,,Latin Capital Letter B with top bar,Table_Latin_Extended-B,TRUE,\u0182,B
U+0183,Af,Latin Small Letter B with top bar,Table_Latin_Extended-B,TRUE,\u0183,b
U+0184,A",Latin Capital Letter Tone Six,Table_Latin_Extended-B,TRUE,\u0184,6
U+0185,A...,Latin Small Letter Tone Six,Table_Latin_Extended-B,TRUE,\u0185,6
U+0186,At,Latin Capital Letter Open O,Table_Latin_Extended-B,TRUE,\u0186,O
U+0187,Att,Latin Capital Letter C with hook,Table_Latin_Extended-B,TRUE,\u0187,C
U+0188,A^,Latin Small Letter C with hook,Table_Latin_Extended-B,TRUE,\u0188,c
U+0189,A%o,Latin Capital Letter African D,Table_Latin_Extended-B,TRUE,\u0189,D
U+018A,AS,Latin Capital Letter D with hook,Table_Latin_Extended-B,TRUE,\u018A,D
U+018B,A",Latin Capital Letter D with top bar,Table_Latin_Extended-B,TRUE,\u018B,D
U+018C,AOE,Latin Small Letter D with top bar,Table_Latin_Extended-B,TRUE,\u018C,d
U+018D,AXxXunicodeXxX,Latin Small Letter Turned Delta,Table_Latin_Extended-B,TRUE,\u018D,d
U+018E,AZ,Latin Capital Letter Reversed E,Table_Latin_Extended-B,TRUE,\u018E,E
U+018F,AXxXunicodeXxX,Latin Capital Letter Schwa,Table_Latin_Extended-B,TRUE,\u018F,E
U+0190,AXxXunicodeXxX,Latin Capital Letter Open E,Table_Latin_Extended-B,TRUE,\u0190,E
U+0191,A',Latin Capital Letter F with hook,Table_Latin_Extended-B,TRUE,\u0191,F
U+0192,A',Latin Small Letter F with hook,Table_Latin_Extended-B,TRUE,\u0192,f
U+0193,A",Latin Capital Letter G with hook,Table_Latin_Extended-B,TRUE,\u0193,G
U+0194,A",Latin Capital Letter Gamma,Table_Latin_Extended-B,TRUE,\u0194,G
U+0195,A.,Latin Small Letter HV,Table_Latin_Extended-B,TRUE,\u0195,hv
U+0196,A--,Latin Capital Letter Iota,Table_Latin_Extended-B,TRUE,\u0196,I
U+0197,A---,Latin Capital Letter I with stroke,Table_Latin_Extended-B,TRUE,\u0197,I
U+0198,A~,Latin Capital Letter K with hook,Table_Latin_Extended-B,TRUE,\u0198,K
U+0199,AXxXunicodeXxX,Latin Small Letter K with hook,Table_Latin_Extended-B,TRUE,\u0199,k
U+019A,As,Latin Small Letter L with bar,Table_Latin_Extended-B,TRUE,\u019A,l
U+019B,A",Latin Small Letter Lambda with stroke,Table_Latin_Extended-B,TRUE,\u019B,l
U+019C,Aoe,Latin Capital Letter Turned M,Table_Latin_Extended-B,TRUE,\u019C,M
U+019D,AXxXunicodeXxX,Latin Capital Letter N with left hook,Table_Latin_Extended-B,TRUE,\u019D,N
U+019E,Az,Latin Small Letter N with long right leg,Table_Latin_Extended-B,TRUE,\u019E,n
U+019F,AY,Latin Capital Letter O with middle tilde,Table_Latin_Extended-B,TRUE,\u019F,O
U+01A0,AXxXunicodeXxX,Latin Capital Letter O with horn,Table_Latin_Extended-B,TRUE,\u01A0,O
U+01A1,A!,Latin Small Letter O with horn,Table_Latin_Extended-B,TRUE,\u01A1,o
U+01A2,Acent,Latin Capital Letter OI (= Latin Capital Letter Gha),Table_Latin_Extended-B,TRUE,\u01A2,OI
U+01A3,Apound,Latin Small Letter OI (= Latin Small Letter Gha),Table_Latin_Extended-B,TRUE,\u01A3,oi
U+01A4,Acurrency,Latin Capital Letter P with hook,Table_Latin_Extended-B,TRUE,\u01A4,P
U+01A5,Ayen,Latin Small Letter P with hook,Table_Latin_Extended-B,TRUE,\u01A5,p
U+01A6,A|,Latin Letter YR,Table_Latin_Extended-B,TRUE,\u01A6,yr
U+01A7,AS,Latin Capital Letter Tone Two,Table_Latin_Extended-B,TRUE,\u01A7,2
U+01A8,AXxXunicodeXxX,Latin Small Letter Tone Two,Table_Latin_Extended-B,TRUE,\u01A8,2
U+01A9,AC,Latin Capital Letter Esh,Table_Latin_Extended-B,TRUE,\u01A9,E
