Code,Glyph,Description,CharacterSet,is_unicode,CodeEscaped,ASCII
U+017C,ż,Latin Small Letter Z with dot above,Table_Latin_Extended-A,TRUE,\u017C,z
U+017D,Ž,Latin Capital Letter Z with caron,Table_Latin_Extended-A,TRUE,\u017D,Z
U+017E,ž,Latin Small Letter Z with caron,Table_Latin_Extended-A,TRUE,\u017E,z
U+017F,ſ,Latin Small Letter long S,Table_Latin_Extended-A,TRUE,\u017F,S
U+0180,ƀ,Latin Small Letter B with stroke,Table_Latin_Extended-B,TRUE,\u0180,b
U+0181,Ɓ,Latin Capital Letter B with hook,Table_Latin_Extended-B,TRUE,\u0181,B
U+0182,Ƃ,Latin Capital Letter B with top bar,Table_Latin_Extended-B,TRUE,\u0182,B
U+0183,ƃ,Latin Small Letter B with top bar,Table_Latin_Extended-B,TRUE,\u0183,b
U+0184,Ƅ,Latin Capital Letter Tone Six,Table_Latin_Extended-B,TRUE,\u0184,6
U+0185,ƅ,Latin Small Letter Tone Six,Table_Latin_Extended-B,TRUE,\u0185,6
U+0186,Ɔ,Latin Capital Letter Open O,Table_Latin_Extended-B,TRUE,\u0186,O
U+0187,Ƈ,Latin Capital Letter C with hook,Table_Latin_Extended-B,TRUE,\u0187,C
U+0188,ƈ,Latin Small Letter C with hook,Table_Latin_Extended-B,TRUE,\u0188,c
U+0189,Ɖ,Latin Capital Letter African D,Table_Latin_Extended-B,TRUE,\u0189,D
U+018A,Ɗ,Latin Capital Letter D with hook,Table_Latin_Extended-B,TRUE,\u018A,D
U+018B,Ƌ,Latin Capital Letter D with top bar,Table_Latin_Extended-B,TRUE,\u018B,D
U+018C,ƌ,Latin Small Letter D with top bar,Table_Latin_Extended-B,TRUE,\u018C,d
U+018D,ƍ,Latin Small Letter Turned Delta,Table_Latin_Extended-B,TRUE,\u018D,d
U+018E,Ǝ,Latin Capital Letter Reversed E,Table_Latin_Extended-B,TRUE,\u018E,E
U+018F,Ə,Latin Capital Letter Schwa,Table_Latin_Extended-B,TRUE,\u018F,E
U+0190,Ɛ,Latin Capital Letter Open E,Table_Latin_Extended-B,TRUE,\u0190,E
U+0191,Ƒ,Latin Capital Letter F with hook,Table_Latin_Extended-B,TRUE,\u0191,F
U+0192,ƒ,Latin Small Letter F with hook,Table_Latin_Extended-B,TRUE,\u0192,f
